indicator,ISO Country code,population,population,population,population,population,surface area (Km2),,GINI index,happy planet index,happy planet index,happy planet index,happy planet index,happy planet index,human development index,human development index,human development index,human development index,human development index,sustainable economic development assessment (SEDA),,"GDP growth
(annual %)","GDP growth
(annual %)","GDP growth
(annual %)","GDP growth
(annual %)","GDP growth
(annual %)","GDP 
($ USD billions PPP)","GDP 
($ USD billions PPP)","GDP 
($ USD billions PPP)","GDP 
($ USD billions PPP)",GDP per capita in $ (PPP),GDP per capita in $ (PPP),GDP per capita in $ (PPP),GDP per capita in $ (PPP),Economic Growth,,,"health expenditure 
% of GDP","health expenditure 
% of GDP","health expenditure 
% of GDP","health expenditure 
% of GDP","health expenditure 
% of GDP","health expenditure 
% of GDP","health expenditure 
% of GDP","health expenditure 
% of GDP","health expenditure 
per person","health expenditure 
per person","health expenditure 
per person",infant mortality,"maternal mortality per 100,000 live births",,"education expenditure
% of GDP","education expenditure
% of GDP","education expenditure
% of GDP",Education as % of GDP,Education as % of GDP,% of primary school aged kids out of school,% of primary school aged kids out of school,,unemployment (%),unemployment (%),unemployment (%),unemployment (%),unemployment (%),% of population in extreme poverty,% of population with access to electricity,,political rights score ,,civil liberties score ,,political stability & absence of violence,,government effectiveness,,regulatory quality,,rule of law,,control of corruption,,judicial effectiveness score,,government integrity score,,overall economic freedom score,,financial freedom score,,government expenditure (% of GDP),,CO2e emissions per capita,CO2e emissions per capita,CO2e emissions per capita,CO2e emissions per capita,CO2e emissions per capita,share of electricity from renewables generation,,% of seats held by women in national parliaments,% of seats held by women in national parliaments,% of seats held by women in national parliaments,% of seats held by women in national parliaments,% of seats held by women in national parliaments,Military Spending as % of GDP,Military Spending as % of GDP,Military Spending as % of GDP,Military Spending as % of GDP,Military Spending as % of GDP
Australia,AUS,"24,594,202","24,966,643","25,340,217","25,655,289","25,688,079","7,682,300",,30.30,21.20,44.10,43.30,43.10,44.50,0.94,0.94,0.94,0.95,0.95,78.90,,2.28,2.50,2.17,1.48,2.24,"1,224.9","1,250.8","1,250.7","1,269.2",50169.19,51748.40,53316.89,55807.44,2.87,1.48,,5.16,5.32,5.29,5.14,5.12,-,-,5.12,"4,492",5364.5,5427.5,3.0,6,,5.19,5.12,-,5.12,-,0.43,1.46,,5.59,5.70,5.16,6.46,5.11,0.40,100.00,,40.00,39.00,58.00,56.00,0.90,0.85,1.54,1.51,1.93,1.84,1.68,1.67,1.80,1.74,93.40,95.20,77.40,87.00,80.90,77.70,90.00,90.00,36.00,,15.86,15.91,15.82,15.50,15.24,0.14,,28.70,28.67,30.00,30.50,31.13,27691.10,26839.80,26079.30,27300.90,31753.70
Austria,AUT,"8,797,566","8,840,521","8,879,920","8,916,864","8,955,797","82,445",,30.50,30.50,47.50,48.10,46.80,49.70,0.91,0.92,0.92,0.91,0.92,80.30,,2.26,0.90,1.52,4.48,4.56,488.5,495.8,462.4,483.1,56960.09,58076.35,55685.97,58427.50,2.50,4.48,,5.45,5.46,5.48,5.37,5.22,-,-,5.22,"5,138",5322.3,5242.2,17.3,5,,5.45,5.22,-,5.22,-,0.04,0.06,,5.50,6.10,4.49,5.36,6.30,0.50,100.00,,37.00,37.00,57.00,56.00,1.04,0.91,1.46,1.57,1.44,1.35,1.81,1.79,1.53,1.27,80.90,94.60,73.50,82.90,71.80,73.80,70.00,70.00,51.80,,7.32,7.29,7.49,7.13,7.29,0.80,,30.60,34.43,39.00,39.30,40.44,3153.10,3388.00,3237.80,3601.60,3825.30
Azerbaijan,AZE,"9,854,033","9,939,771","10,024,283","10,093,121","10,137,750","82,629",,33.70,-,47.90,48.00,48.00,-,0.76,0.76,0.76,0.73,0.75,51.10,,0.20,1.10,2.50,5.60,5.60,141.2,144.8,138.5,146.3,14549.06,15051.56,14478.52,15842.89,1.50,5.60,,2.63,2.95,2.90,2.47,2.46,2.68,-,2.46,"1,191",168.4,193.1,38.6,26,,2.63,2.46,2.68,2.46,2.68,3.89,10.46,,5.00,5.10,4.85,6.46,6.58,-,100.00,,3.00,2.00,9.00,7.00,-0.76,-0.85,-0.16,0.25,-0.25,-0.06,-0.56,-0.58,-0.88,-0.83,36.80,15.90,39.90,28.60,64.30,61.60,60.00,60.00,36.80,,3.29,3.30,3.24,3.29,3.54,0.08,,16.80,16.80,17.00,17.40,18.18,1528.90,1672.20,1854.20,2237.80,2703.20
Bahamas,BHS,"399,020","401,906","404,557","406,471","407,906","10,010",,-,-,-,-,-,-,0.81,0.83,0.82,0.82,0.81,60.40,,3.05,0.50,1.90,13.72,13.72,14.0,14.2,10.8,12.3,37065.53,38063.82,29064.76,34107.85,1.83,13.72,,2.50,2.25,2.33,2.42,2.25,2.29,2.37,2.78,"1,699",2002.4,2004.6,4.9,70,,-,2.25,2.78,2.25,2.78,-,-,,9.80,15.30,10.06,13.32,13.24,-,100.00,,38.00,38.00,53.00,53.00,1.00,0.88,0.58,0.46,0.12,0.06,0.19,0.10,1.17,1.18,53.50,78.80,50.90,64.30,63.30,68.70,60.00,60.00,23.80,,5.63,5.15,5.44,6.97,7.29,0.00,,12.80,12.82,13.00,12.80,17.95,-,-,-,-,-
Bahrain,BHR,"1,456,834","1,487,340","1,494,188","1,477,469","1,463,265",760,,-,-,32.70,33.50,33.60,33.00,0.85,0.88,0.88,0.88,0.88,63.90,,4.29,3.20,2.17,2.23,2.23,72.8,74.4,70.7,72.3,47485.62,47224.24,43821.12,45411.12,2.11,2.23,,2.47,2.67,2.87,2.32,2.37,2.09,2.15,2.15,"2,453",994.2,940.4,10.5,14,,2.47,2.37,2.15,2.37,2.15,1.04,2.34,,1.18,1.30,1.20,1.78,1.87,-,100.00,,2.00,2.00,10.00,10.00,-0.95,-0.51,0.19,0.72,0.41,0.85,0.45,0.47,-0.14,0.17,55.10,27.40,51.80,41.60,67.70,62.00,80.00,80.00,33.40,,22.45,21.49,20.95,20.71,20.27,0.01,,7.50,15.00,15.00,15.00,15.00,1532.70,1527.70,1557.70,1404.80,1381.40
Bangladesh,BGD,"161,793,964","163,683,958","165,516,222","167,420,951","169,356,251","130,170",,32.10,38.40,48.40,49.70,54.50,56.00,0.61,0.64,0.64,0.66,0.66,35.30,,6.59,6.40,7.88,6.94,6.94,838.8,904.9,936.1,"1,001.1",5321.94,5784.27,5995.41,6613.01,7.32,6.94,,-,-,1.54,-,-,1.33,-,1.33,88,41.9,45.9,5.1,173,,-,-,1.33,-,1.33,-,-,,4.37,4.10,4.44,5.41,5.23,-,96.20,,19.00,15.00,26.00,24.00,-1.25,-0.97,-0.74,-0.63,-0.81,-0.85,-0.67,-0.61,-0.83,-0.96,32.60,28.10,21.20,22.20,55.10,52.70,30.00,40.00,13.90,,0.46,0.47,0.49,0.51,0.56,-,,20.30,20.29,21.00,20.90,20.86,3266.00,3649.60,4348.50,4558.20,4882.60
Barbados,BRB,"279,187","279,688","280,180","280,693","281,200",430,,-,-,-,-,-,-,0.80,0.80,0.80,0.79,0.79,60.80,,0.46,0.50,-0.13,1.40,-0.19,4.5,4.4,3.8,3.9,15988.77,16153.97,14045.77,14816.86,-1.03,1.40,,6.14,5.38,4.71,4.37,5.43,3.20,3.06,6.45,"1,234",1164.5,1143.3,9.6,27,,6.23,5.43,6.45,5.43,6.45,1.61,2.65,,8.62,11.40,8.41,10.38,10.41,-,100.00,,38.00,38.00,58.00,57.00,0.98,1.12,0.84,0.54,0.49,0.56,0.66,0.37,1.42,1.24,54.40,88.20,53.80,68.70,57.00,71.30,60.00,60.00,45.00,,4.57,4.63,4.23,4.43,4.36,0.01,,16.70,20.00,20.00,20.00,20.00,-,-,-,-,-
Belarus,BLR,"9,458,989","9,438,785","9,419,758","9,379,952","9,340,314","202,900",,26.50,21.70,40.90,39.40,42.90,-,0.81,0.82,0.82,0.81,0.81,59.90,,2.53,-3.90,1.40,2.51,2.30,179.1,181.6,180.0,184.5,19428.01,20092.88,20237.55,21698.57,3.15,2.51,,4.82,4.79,4.95,4.79,5.38,4.98,4.95,4.95,"1,085",351.0,399.4,10.0,2,,4.82,5.38,4.95,5.38,4.95,1.30,5.24,,5.65,0.50,4.16,4.77,4.74,-,100.00,,6.00,2.00,15.00,6.00,0.03,-0.74,-0.35,-0.77,-0.74,-0.92,-0.82,-1.10,-0.26,-0.24,57.30,15.50,42.00,43.70,58.10,53.00,10.00,20.00,41.70,,5.79,5.82,5.92,6.25,6.12,0.24,,34.50,34.55,40.00,40.00,40.00,625.60,709.70,773.70,707.40,762.80
Belgium,BEL,"11,375,158","11,427,054","11,488,980","11,538,604","11,592,952","30,278",,25.90,23.70,43.60,43.30,42.50,48.60,0.92,0.93,0.94,0.93,0.94,77.50,,1.62,1.40,2.24,6.24,6.13,584.4,596.7,562.8,598.0,52535.23,54278.39,53070.21,58930.94,1.84,6.24,,6.59,6.45,6.46,6.43,6.38,-,-,6.38,"4,782",5134.4,4960.4,56.5,5,,6.60,6.38,-,6.38,-,0.52,0.89,,7.09,8.30,5.36,5.55,6.42,0.10,100.00,,39.00,39.00,56.00,57.00,0.42,0.61,1.18,1.13,1.24,1.34,1.34,1.33,1.50,1.48,69.50,91.20,70.90,83.60,67.50,69.60,70.00,70.00,54.10,,8.44,8.31,8.15,8.20,8.10,0.95,,38.00,38.00,42.00,41.30,42.00,4432.80,4840.10,4761.20,5442.80,6311.50
Belize,BLZ,"374,693","382,066","389,095","394,921","400,031","22,806",,-,33.80,-,-,-,-,0.71,0.71,0.71,0.69,0.68,48.50,,-1.69,1.50,4.50,9.75,15.23,2.7,2.8,2.3,2.6,7318.90,7454.53,6165.85,6921.45,2.04,9.75,,6.61,6.87,7.29,7.45,7.47,7.14,7.53,8.71,524,286.0,293.4,-,36,,6.47,7.47,8.71,7.47,8.71,0.66,0.15,,6.60,11.00,6.71,8.46,8.22,-,97.11,,36.00,34.00,50.00,53.00,0.05,0.46,-0.64,-0.49,-0.54,-0.42,-0.96,-0.78,-0.27,-0.30,53.50,70.20,34.70,38.10,57.10,56.60,50.00,50.00,33.90,,1.89,1.77,1.71,1.65,1.64,0.03,,9.40,9.38,9.00,9.70,12.50,23.10,23.30,24.40,26.70,21.80
Benin,BEN,"11,596,779","11,940,683","12,290,444","12,643,123","12,996,895","110,622",,36.50,13.40,40.20,46.30,41.40,38.30,0.52,0.53,0.53,0.52,0.53,34.50,,5.67,5.20,6.87,6.60,7.16,36.3,38.8,40.3,42.9,3236.29,3426.05,3505.14,3789.27,6.70,6.60,,3.16,3.17,2.90,3.54,2.93,2.97,3.00,3.00,84,31.1,29.1,52.8,397,,4.32,2.93,3.00,2.93,3.00,2.79,6.72,,1.64,1.00,1.47,1.58,1.57,4.80,41.41,,33.00,17.00,49.00,42.00,0.05,-0.30,-0.64,-0.21,-0.47,-0.43,-0.62,-0.59,-0.55,-0.15,31.30,55.30,30.20,40.30,56.70,61.00,50.00,50.00,21.90,,0.50,0.60,0.59,0.62,0.62,-,,7.20,7.23,7.00,7.20,8.43,116.10,90.20,68.10,71.80,97.40
Bhutan,BTN,"756,121","762,096","767,459","772,506","777,486","38,394",,38.80,28.60,-,-,36.70,-,0.61,0.66,0.67,0.67,0.67,47.70,,4.65,7.70,5.76,-10.08,4.09,8.6,9.1,8.1,8.5,11619.56,12365.51,11129.31,11983.30,3.06,-10.08,,6.04,7.59,6.99,7.23,6.85,5.68,-,5.68,287,102.7,116.0,36.1,183,,5.90,6.85,5.68,6.85,5.68,8.14,3.65,,2.45,2.40,2.50,3.65,4.33,-,100.00,,28.00,29.00,27.00,32.00,1.13,0.97,0.56,0.80,-0.33,-0.37,0.63,0.64,1.57,1.55,51.60,60.90,50.90,73.50,61.80,59.30,30.00,30.00,30.50,,1.04,1.24,1.28,1.38,1.38,1.00,,8.50,14.89,15.00,14.90,17.02,-,-,-,-,-
Bolivia,BOL,"11,435,533","11,606,905","11,777,315","11,936,162","12,079,472","1,083,301",,47.00,23.30,44.00,45.90,45.00,43.80,0.69,0.71,0.72,0.69,0.69,44.80,,4.20,4.80,2.22,6.11,6.11,98.3,100.4,91.7,97.3,8862.31,9092.69,8283.13,9030.39,4.22,6.11,,8.26,8.94,8.85,8.66,8.90,-,-,8.90,446,235.7,245.9,13.1,155,,7.29,8.90,-,8.90,-,6.79,4.90,,3.65,3.70,3.82,7.90,8.51,0.90,97.55,,28.00,27.00,39.00,39.00,-0.30,-0.32,-0.39,-0.73,-0.90,-1.15,-1.21,-1.16,-0.66,-0.86,11.40,28.40,23.10,28.70,44.10,43.00,40.00,40.00,42.20,,1.87,1.95,1.99,2.00,1.94,0.33,,53.10,53.08,53.00,46.20,46.15,574.10,602.90,593.20,510.50,625.30
Bosnia and Herzegovina,BIH,"3,440,027","3,400,129","3,360,711","3,318,407","3,270,943","51,187",,33.80,25.30,42.90,47.70,47.80,45.60,0.77,0.78,0.78,0.78,0.78,50.20,,3.17,2.80,2.83,7.10,7.55,47.8,49.2,47.6,51.0,14918.49,15711.24,15598.43,16846.46,3.74,7.10,,-,-,-,-,-,-,-,-,"1,102",539.9,553.8,2.2,10,,-,-,-,-,-,13.28,-,,20.53,25.80,15.69,15.27,15.22,-,100.00,,21.00,19.00,34.00,34.00,-0.38,-0.38,-0.48,-1.04,-0.15,-0.18,-0.21,-0.28,-0.52,-0.64,43.70,37.20,28.40,33.40,61.40,63.40,60.00,60.00,44.10,,5.57,6.42,6.59,6.65,6.38,0.37,,21.40,21.43,21.00,26.20,26.19,156.30,172.10,165.40,167.50,192.20
Botswana,BWA,"2,401,840","2,451,409","2,499,702","2,546,402","2,588,423","566,730",,60.50,16.60,31.50,31.50,31.90,-,0.72,0.72,0.72,0.71,0.69,44.10,,4.11,-0.30,3.03,11.36,11.37,36.6,37.8,34.5,38.4,16609.96,17096.79,15471.09,17603.73,3.98,11.36,,-,7.81,7.97,7.30,6.72,6.91,8.74,8.74,970,494.2,481.5,77.5,144,,-,6.72,8.74,6.72,8.74,-,-,,21.57,18.40,22.61,24.93,24.72,-,71.99,,28.00,28.00,44.00,44.00,1.03,0.98,0.43,0.35,0.46,0.61,0.51,0.48,0.80,0.69,54.70,70.10,56.60,61.40,69.90,64.80,70.00,70.00,34.90,,3.01,2.82,3.05,2.98,3.15,0.00,,9.50,9.52,11.00,10.80,10.77,522.40,498.10,514.70,499.00,517.80
Brazil,BRA,"208,504,960","210,166,592","211,782,878","213,196,304","214,326,223","8,358,140",,49.00,34.30,53.00,52.40,54.60,51.30,0.76,0.76,0.77,0.76,0.75,51.60,,1.32,-3.80,1.22,4.62,4.62,"3,072.5","3,110.1","2,989.4","3,127.5",15018.68,15358.09,14834.19,16056.02,1.78,4.62,,5.95,6.24,6.31,6.32,6.09,-,-,6.09,"1,392",866.2,853.4,11.4,60,,5.95,6.09,-,6.09,-,0.52,-,,12.82,11.50,11.93,13.69,14.40,0.70,100.00,,31.00,31.00,47.00,42.00,-0.41,-0.49,-0.29,-0.46,-0.11,-0.11,-0.28,-0.28,-0.53,-0.48,55.50,57.20,31.40,40.00,51.40,53.30,50.00,50.00,40.50,,2.37,2.16,2.19,2.06,2.06,0.75,,10.70,15.01,15.00,14.60,15.20,29261.80,28177.40,25906.90,19591.20,19187.10
