indicator_data year,ISO Country code_,surface area (Km2)_,population_2017,population_2018,population_2019,population_2020,population_2021,,GINI index_varies by country,happy planet index_2016,happy planet index_2017,happy planet index_2018,happy planet index_2019,happy planet index_2020,human development index_2017,human development index_2018,human development index_2019,human development index_2020,human development index_2021,sustainable economic development assessment (SEDA)_2018,,GDP growth(annual %)_2017,GDP growth(annual %)_2018,GDP growth(annual %)_2019,GDP growth(annual %)_2020,GDP growth(annual %)_2021,GDP ($ USD billions PPP)_2018,GDP ($ USD billions PPP)_2019,GDP ($ USD billions PPP)_2020,GDP ($ USD billions PPP)_2021,GDP per capita in $ (PPP)_2018,GDP per capita in $ (PPP)_2019,GDP per capita in $ (PPP)_2020,GDP per capita in $ (PPP)_2021,Economic Growth_2018,Economic Growth_2021,,health expenditure % of GDP_2014,health expenditure % of GDP_2015,health expenditure % of GDP_2016,health expenditure % of GDP_2017,health expenditure % of GDP_2018,health expenditure % of GDP_2019,health expenditure % of GDP_2020,health expenditure % of GDP_2021,health expenditure per person_2015,health expenditure per person_2018,health expenditure per person_2019,infant mortality_2020,"maternal mortality per 100,000 live births_2017",,education expenditure% of GDP_2014,education expenditure% of GDP_2018,education expenditure% of GDP_2021,Education as % of GDP_2018,Education as % of GDP_2021,% of primary school aged kids out of school_2018,% of primary school aged kids out of school_2021,,unemployment (%)_2017,unemployment (%)_2018,unemployment (%)_2019,unemployment (%)_2020,unemployment (%)_2021,% of population in extreme poverty_2021,% of population with access to electricity_2020,,political rights score_2018,political rights score_2022,civil liberties score_2018,civil liberties score_2022,political stability and absence of violence_2017,political stability and absence of violence_2021,government effectiveness_2017,government effectiveness_2021,regulatory quality_2017,regulatory quality_2021,rule of law_2017,rule of law_2021,control of corruption_2017,control of corruption_2021,judicial effectiveness score_2018,judicial effectiveness score_2022,government integrity score_2018,government integrity score_2022,overall economic freedom score_2017,overall economic freedom score_2022,financial freedom score_2018,financial freedom score_2022,government expenditure (% of GDP)_2018,,CO2e emissions per capita_2015,CO2e emissions per capita_2016,CO2e emissions per capita_2017,CO2e emissions per capita_2018,CO2e emissions per capita_2019,share of electricity from renewables generation_2015,,% of seats held by women in national parliaments_2017,% of seats held by women in national parliaments_2018,% of seats held by women in national parliaments_2019,% of seats held by women in national parliaments_2020,% of seats held by women in national parliaments_2021,Military Spending as % of GDP_2017,Military Spending as % of GDP_2018,Military Spending as % of GDP_2019,Military Spending as % of GDP_2020,Military Spending as % of GDP_2021
Armenia,ARM,28203,2851923,2836557,2820602,2805608,2790974,,31.5,25.7,44.4,50.4,54.7,-,0.755,0.771,0.778,0.757,0.759,51.7,,7.500000002,3,7.599999999,5.7,5.7,37.53170842,40.38411826,37.39569351,39.52724804,13018.87429,14230.01487,13311.02814,14630.24422,5.2,5.7,,2.247240067,2.80591011,2.75812006,2.707590103,2.255870104,2.561850071,2.705670118,2.71,883,422.2826843,523.9990845,-,26,,2.247240067,2.255870104,2.705670118,2.255870104,2.705670118,6.905220032,10.47731018,,17.7,16.8,18.3,21.21,20.89699936,0.1,100,,15,23,30,32,-0.71,-0.83559227,-0.1,-0.249556035,0.28,0.145152628,-0.16,-0.095904246,-0.56,0.072149873,47.4,33.1,40.5,50.8,68.7,65.3,70,70,25.8,,1.86,1.77,1.88,2.01,2.086060678,0.296,,18.1,18.0952381,23,23.5,33.64485981,443.6,513.3,652,634,619.4
Australia,AUS,7682300,24594202,24966643,25340217,25655289,25688079,,30.3,21.2,44.1,43.3,43.1,44.5,0.939,0.941,0.941,0.947,0.951,78.9,,2.282183642,2.5,2.171396224,1.475162883,2.236212439,1224.878851,1250.762371,1250.714385,1269.164459,50169.18729,51748.39772,53316.88543,55807.44402,2.87097248,1.475162883,,5.164690018,5.315839767,5.286230087,5.136809826,5.123449802,-,-,5.12,4492,5364.542969,5427.462402,3,6,,5.192669868,5.123449802,-,5.123449802,-,0.428380013,1.456110001,,5.59,5.7,5.16,6.46,5.111999989,0.4,100,,40,39,58,56,0.9,0.850988686,1.54,1.512928247,1.93,1.83872807,1.68,1.674290538,1.8,1.73749423,93.4,95.2,77.4,87,80.9,77.7,90,90,36,,15.86,15.91,15.82,15.5,15.23826715,0.144,,28.7,28.66666667,30,30.5,31.12582781,27691.1,26839.8,26079.3,27300.9,31753.7
Austria,AUT,82445,8797566,8840521,8879920,8916864,8955797,,30.5,30.5,47.5,48.1,46.8,49.7,0.908,0.917,0.919,0.913,0.916,80.3,,2.258572433,0.9,1.517388583,4.483969206,4.556850913,488.5127895,495.7975453,462.4079898,483.1422217,56960.09143,58076.3488,55685.97029,58427.49569,2.501595119,4.483969206,,5.447619915,5.456580162,5.47961998,5.371590137,5.224520206,-,-,5.22,5138,5322.262695,5242.183105,17.3,5,,5.448979855,5.224520206,-,5.224520206,-,0.043699998,0.056230001,,5.5,6.1,4.49,5.36,6.301000118,0.5,100,,37,37,57,56,1.04,0.914891124,1.46,1.570008159,1.44,1.348706007,1.81,1.788035512,1.53,1.271236777,80.9,94.6,73.5,82.9,71.8,73.8,70,70,51.8,,7.32,7.29,7.49,7.13,7.293984252,0.8,,30.6,34.42622951,39,39.3,40.43715847,3153.1,3388,3237.8,3601.6,3825.3
Azerbaijan,AZE,82629,9854033,9939771,10024283,10093121,10137750,,33.7,-,47.9,48,48,-,0.757,0.757,0.761,0.73,0.745,51.1,,0.199999939,1.1,2.500000067,5.600037273,5.600037273,141.2401021,144.7711047,138.5459471,146.3045718,14549.0619,15051.56128,14478.52445,15842.88951,1.5,5.600037273,,2.633039951,2.951679945,2.903409958,2.473819971,2.455430031,2.681080103,-,2.46,1191,168.3916473,193.1088409,38.6,26,,2.633039951,2.455430031,2.681080103,2.455430031,2.681080103,3.894190073,10.46286011,,5,5.1,4.85,6.46,6.583000183,-,100,,3,2,9,7,-0.76,-0.853478372,-0.16,0.247684523,-0.25,-0.059605457,-0.56,-0.584836721,-0.88,-0.827584863,36.8,15.9,39.9,28.6,64.3,61.6,60,60,36.8,,3.29,3.3,3.24,3.29,3.542397828,0.078,,16.8,16.8,17,17.4,18.18181818,1528.9,1672.2,1854.2,2237.8,2703.2
Bahamas,BHS,10010,399020,401906,404557,406471,407906,,-,-,-,-,-,-,0.807,0.827,0.816,0.815,0.812,60.4,,3.050157348,0.5,1.896163703,13.71973494,13.71973494,13.96025536,14.22496465,10.83620714,12.32290604,37065.53445,38063.81604,29064.7595,34107.84983,1.831007794,13.71973494,,2.5,2.249901056,2.331181526,2.42276907,2.249673843,2.288417339,2.371343613,2.78,1699,2002.412964,2004.616333,4.9,70,,-,2.249673843,2.782222271,2.249673843,2.782222271,-,-,,9.8,15.3,10.06,13.32,13.23900032,-,100,,38,38,53,53,1,0.876719475,0.58,0.461800665,0.12,0.064141877,0.19,0.102244459,1.17,1.18,53.5,78.8,50.9,64.3,63.3,68.7,60,60,23.8,,5.63,5.15,5.44,6.97,7.291661097,0,,12.8,12.82051282,13,12.8,17.94871795,-,-,-,-,-
Bahrain,BHR,760,1456834,1487340,1494188,1477469,1463265,,-,-,32.7,33.5,33.6,33,0.846,0.879,0.882,0.877,0.875,63.9,,4.290949778,3.2,2.166964669,2.225351242,2.225351242,72.78693976,74.36420703,70.69369762,72.26688069,47485.6176,47224.23713,43821.12449,45411.12035,2.111130473,2.225351242,,2.467459917,2.674540043,2.869999886,2.324520111,2.366607189,2.094912291,2.152053356,2.15,2453,994.1790161,940.3956909,10.5,14,,2.467459917,2.366607189,2.152053356,2.366607189,2.15,1.036579967,2.344500065,,1.18,1.3,1.2,1.78,1.873999953,-,100,,2,2,10,10,-0.95,-0.505110562,0.19,0.717128277,0.41,0.849090099,0.45,0.470811009,-0.14,0.168159813,55.1,27.4,51.8,41.6,67.7,62,80,80,33.4,,22.45,21.49,20.95,20.71,20.26610279,0.013,,7.5,15,15,15,15,1532.7,1527.7,1557.7,1404.8,1381.4
Bangladesh,BGD,130170,161793964,163683958,165516222,167420951,169356251,,32.1,38.4,48.4,49.7,54.5,56,0.608,0.635,0.644,0.655,0.661,35.3,,6.590249998,6.4,7.881915151,6.938675089,6.938675089,838.7982389,904.9116044,936.1131507,1001.067001,5321.940225,5784.269636,5995.407429,6613.013275,7.31941263,6.938675089,,-,-,1.535539985,-,-,1.326320052,-,1.33,88,41.90407562,45.85716248,5.1,173,,-,-,1.326320052,-,1.326320052,-,-,,4.37,4.1,4.44,5.41,5.229000092,-,96.19999695,,19,15,26,24,-1.25,-0.970162392,-0.74,-0.627411544,-0.81,-0.845715046,-0.67,-0.611260772,-0.83,-0.962003231,32.6,28.1,21.2,22.2,55.1,52.7,30,40,13.9,,0.46,0.47,0.49,0.51,0.556529455,-,,20.3,20.28571429,21,20.9,20.85714286,3266,3649.6,4348.5,4558.2,4882.6
Barbados,BRB,430,279187,279688,280180,280693,281200,,-,-,-,-,-,-,0.8,0.797,0.799,0.788,0.79,60.8,,0.456290513,0.5,-0.13114725,1.4,-0.18927287,4.476086875,4.448770451,3.826772299,3.880347111,15988.77016,16153.97126,14045.77283,14816.86286,-1.027139116,1.4,,6.143499851,5.382918835,4.707320213,4.366380215,5.428860188,3.203989983,3.05817008,6.45,1234,1164.544556,1143.322021,9.6,27,,6.229410172,5.428860188,6.453624725,5.428860188,6.453624725,1.611789942,2.651609898,,8.62,11.4,8.41,10.38,10.41300011,-,100,,38,38,58,57,0.98,1.122221947,0.84,0.538301587,0.49,0.560486197,0.66,0.374692202,1.42,1.242948413,54.4,88.2,53.8,68.7,57,71.3,60,60,45,,4.57,4.63,4.23,4.43,4.355082032,0.01,,16.7,20,20,20,20,-,-,-,-,-
Belarus,BLR,202900,9458989,9438785,9419758,9379952,9340314,,26.5,21.7,40.9,39.4,42.9,-,0.808,0.818,0.817,0.807,0.808,59.9,,2.5321835,-3.9,1.4,2.506742348,2.299879412,179.098112,181.6054855,179.9710362,184.4824464,19428.00746,20092.88037,20237.55113,21698.57409,3.149197594,2.506742348,,4.818309784,4.787519932,4.946549892,4.794990063,5.381110191,4.97947979,4.952449799,4.95,1085,351.0068054,399.3970947,10,2,,4.818309784,5.381110191,4.952449799,5.381110191,4.95,1.302559972,5.244259834,,5.65,0.5,4.16,4.77,4.736000061,-,100,,6,2,15,6,0.03,-0.736605406,-0.35,-0.770816863,-0.74,-0.919227362,-0.82,-1.100141525,-0.26,-0.23533681,57.3,15.5,42,43.7,58.1,53,10,20,41.7,,5.79,5.82,5.92,6.25,6.122237765,0.238,,34.5,34.54545455,40,40,40,625.6,709.7,773.7,707.4,762.8
Belgium,BEL,30278,11375158,11427054,11488980,11538604,11592952,,25.9,23.7,43.6,43.3,42.5,48.6,0.916,0.933,0.936,0.928,0.937,77.5,,1.619580278,1.4,2.24085824,6.244721946,6.133865964,584.3688871,596.7080211,562.8106277,597.9565865,52535.23222,54278.38945,53070.21482,58930.93633,1.843899686,6.244721946,,6.590469837,6.451570034,6.461730003,6.425340176,6.381370068,-,-,6.38,4782,5134.414551,4960.393555,56.5,5,,6.596849918,6.381370068,-,6.381370068,-,0.519879997,0.892660022,,7.09,8.3,5.36,5.55,6.420000076,0.1,100,,39,39,56,57,0.42,0.612554729,1.18,1.125090241,1.24,1.342472672,1.34,1.325958967,1.5,1.484489679,69.5,91.2,70.9,83.6,67.5,69.6,70,70,54.1,,8.44,8.31,8.15,8.2,8.095583954,0.952,,38,38,42,41.3,42,4432.8,4840.1,4761.2,5442.8,6311.5
Belize,BLZ,22806,374693,382066,389095,394921,400031,,-,33.8,-,-,-,-,0.708,0.706,0.705,0.69,0.683,48.5,,-1.69491525,1.5,4.502046385,9.753163244,15.22613065,2.738240647,2.792046974,2.32437549,2.551075626,7318.897839,7454.532388,6165.849669,6921.450076,2.044703177,9.753163244,,6.614689827,6.870150089,7.29365015,7.45028019,7.472270012,7.138390064,7.528777599,8.71,524,285.9703369,293.4125977,-,36,,6.474110126,7.472270012,8.707014084,7.472270012,8.707014084,0.664810002,0.151250005,,6.6,11,6.71,8.46,8.218999863,-,97.11333466,,36,34,50,53,0.05,0.460716963,-0.64,-0.488973141,-0.54,-0.415183604,-0.96,-0.778173029,-0.27,-0.304920167,53.5,70.2,34.7,38.1,57.1,56.6,50,50,33.9,,1.89,1.77,1.71,1.65,1.639550009,0.026,,9.4,9.375,9,9.7,12.5,23.1,23.3,24.4,26.7,21.8
Benin,BEN,110622,11596779,11940683,12290444,12643123,12996895,,36.5,13.4,40.2,46.3,41.4,38.3,0.515,0.53,0.53,0.524,0.525,34.5,,5.671555469,5.2,6.865687336,6.600001011,7.155729529,36.30167662,38.79403624,40.28713816,42.94608968,3236.292065,3426.049089,3505.138455,3789.273347,6.697259461,6.600001011,,3.161789894,3.17298007,2.899100065,3.535589933,2.931619883,2.965199947,3.003662109,3,84,31.07242012,29.12529182,52.8,397,,4.321129799,2.931619883,3.003662109,2.931619883,3,2.788969994,6.724569798,,1.64,1,1.47,1.58,1.574000001,4.8,41.41095734,,33,17,49,42,0.05,-0.301340491,-0.64,-0.206672296,-0.47,-0.43148464,-0.62,-0.593543828,-0.55,-0.154652014,31.3,55.3,30.2,40.3,56.7,61,50,50,21.9,,0.5,0.6,0.59,0.62,0.618583746,-,,7.2,7.228915663,7,7.2,8.43373494,116.1,90.2,68.1,71.8,97.4
